datetime,strategy,market,sideUsd,size,tradingviewPrice,order_id
2024-06-03T13:08:09.534Z,bluefinEth,TIA_USD,SELL,1,11.1,1385942497
2024-06-03T13:09:58.543Z,bluefinEth,TIA_USD,,0.1,11.1,undefined
2024-06-03T13:11:50.125Z,bluefinEth,TIA_USD,,,11.1,undefined
2024-06-03T13:12:09.415Z,bluefinEth,TIA_USD,,,11.1,undefined
2024-06-03T13:13:08.394Z,bluefinEth,TIA_USD,,,11.1,undefined
2024-06-03T13:13:19.233Z,bluefinEth,TIA_USD,BUY,1,11.1,1385964547
2024-06-03T13:16:25.446Z,bluefinEth,ETH_USD,,0.01,11.1,undefined
2024-06-03T13:16:44.509Z,bluefinEth,ETH_USD,BUY,0.01,11.1,1385979806
2024-06-06T10:45:41.791Z,bluefinEth,TIA_USD,,0.01,11.1,undefined
2024-06-06T10:45:55.910Z,bluefinEth,ETH_USD,BUY,0.01,11.1,1402327276
2024-06-11T13:11:17.047Z,bluefinEth,TIA_USD,BUY,,11.1,1432485372
2024-06-11T13:12:24.189Z,bluefinEth,TIA_USD,BUY,,8.7,1432493876
2024-06-11T13:32:53.288Z,bluefinEth,TIA_USD,SELL,,8.7,1432652994
2024-06-11T13:34:26.611Z,bluefinEth,TIA_USD,SELL,1,8.7,1432665543